name;id;results;time
F2;0;4;2504
F2;1;1;1077
F2;2;1;1132
F2;3;15;4234
F2;4;12;5116
F3;0;20;3402
F3;1;20;3412
F3;2;1;1186
F3;3;85;3606
F3;4;20;3430
F4;0;5;4257
F4;1;47;5202
F4;2;5;4571
F4;3;5;4473
F4;4;47;4968
F5;0;45;1759
F5;1;49;1722
F5;2;49;1739
F5;3;43;1633
F5;4;25;1398
L1;0;3;1039
L1;1;6;1045
L1;2;2;893
L1;3;6;1039
L1;4;6;1026
L2;0;23;2216
L2;1;14;1934
L2;2;23;2232
L2;3;14;2056
L2;4;14;1944
L3;0;31;857
L3;1;29;877
L3;2;23;882
L3;3;59;924
L3;4;39;938
L4;0;46;2218
L4;1;46;2227
L4;2;51;2298
L4;3;77;2363
L4;4;46;2507
L5;0;87;5072
L5;1;37;2174
L5;2;131;6723
L5;3;56;3203
L5;4;87;4689
S1;0;9;1178
S1;1;9;1213
S1;2;9;1203
S1;3;9;1234
S1;4;14;1180
S2;0;12;1929
S2;1;80;6247
S2;2;13;2203
S2;3;9;1637
S2;4;264;16753
S3;0;0;4129
S3;1;0;4072
S3;2;0;4064
S3;3;0;4107
S3;4;0;4106
S4;0;0;1299
S4;1;0;3314
S4;2;0;3388
S4;3;8;3360
S4;4;8;3334
S5;0;0;4340
S5;1;0;4401
S5;2;0;4329
S5;3;0;4335
S5;4;0;4343
S6;0;2;866
S6;1;2;1495
S6;2;2;873
S6;3;0;921
S6;4;2;1412
S7;0;0;715
S7;1;0;756
S7;2;0;774
S7;3;0;782
S7;4;0;764
