name;id;results;time
F3;1;20;3404
F3;2;1;413
F3;3;85;4617
F3;4;20;4866
F4;0;5;4017
F4;1;47;3619
F4;2;5;2998
F4;3;5;3324
F4;4;47;3407
F5;0;45;1276
F5;1;49;1248
F5;2;49;1325
F5;3;43;2045
F5;4;25;901
L1;0;3;284
L1;1;6;254
L1;2;2;159
L1;3;6;260
L1;4;6;118
L2;0;23;4282
L2;1;14;2921
L2;2;23;2303
L2;3;14;1397
L2;4;14;1294
L3;0;31;86
L3;1;29;74
L3;2;23;118
L3;3;59;114
L3;4;39;99
L4;0;46;1556
L4;1;46;1463
L4;2;51;1618
L4;3;77;1661
L4;4;46;1578
L5;0;87;4834
L5;1;37;1500
L5;2;131;7374
L5;3;56;2751
L5;4;87;5252
S1;0;9;829
S1;1;9;926
S1;2;9;774
S1;3;9;788
S1;4;14;732
S2;0;12;1514
S2;1;80;11049
S2;2;13;1677
S2;3;9;1063
S2;4;264;23669
S3;0;0;3926
S3;1;0;4328
S3;2;0;4322
S3;3;0;3712
S3;4;0;3816
S4;0;0;755
S4;1;0;3280
S4;2;0;2944
S4;3;8;4344
S4;4;8;3748
S5;0;0;4186
S5;1;0;4203
S5;2;0;4429
S5;3;0;7152
S5;4;0;5557
S6;0;2;94
S6;1;2;424
S6;2;2;79
S6;3;0;56
S6;4;2;338
S7;0;0;18
S7;1;0;6
S7;2;0;6
S7;3;0;3
S7;4;0;6
